delivery_id,order_id,delivery_status,delivery_time,rider_id
1,1,Delivered,11:15:00,392
2,2,Delivered,05:39:00,190
3,3,Delivered,04:28:00,193
4,4,Delivered,06:40:00,304
5,5,Cancelled,,123
6,6,Delivered,18:08:00,424
7,7,Delivered,07:27:00,49
8,8,Delivered,21:44:00,100
9,9,Delivered,23:25:00,187
10,10,Delivered,01:54:00,276
11,11,Delivered,03:17:00,304
12,12,Delivered,12:17:00,212
13,13,Delivered,02:45:00,476
14,14,Delivered,07:13:00,104
15,15,Delivered,04:50:00,88
16,16,Delivered,20:24:00,45
17,17,Cancelled,,377
18,18,Delayed,20:10:00,485
19,19,Delivered,16:51:00,218
20,20,Delayed,03:31:00,375
21,21,Delivered,22:40:00,343
22,22,Delivered,16:11:00,361
23,23,Delivered,22:12:00,171
24,24,Delivered,23:40:00,377
25,25,Delivered,12:54:00,188
26,26,Delivered,05:39:00,59
27,27,Delivered,11:38:00,349
28,28,Delivered,17:35:00,241
29,29,Delivered,23:17:00,482
30,30,Cancelled,,56
31,31,Delivered,17:51:00,488
32,32,Delivered,16:26:00,331
33,33,Delivered,18:40:00,176
34,34,Delivered,19:48:00,68
35,35,Delivered,10:23:00,181
36,36,Delivered,07:10:00,355
37,37,Delivered,11:14:00,190
38,38,Delivered,13:17:00,274
39,39,Delayed,05:12:00,80
40,40,Delivered,17:01:00,387
41,41,Delivered,16:42:00,283
42,42,Delivered,04:01:00,100
43,43,Delayed,18:42:00,491
44,44,Delivered,21:32:00,466
45,45,Delivered,13:26:00,158
46,46,Delayed,15:12:00,413
47,47,Delayed,05:42:00,445
48,48,Delivered,14:48:00,90
49,49,Cancelled,,422
50,50,Delivered,19:20:00,406
51,51,Delivered,14:44:00,331
52,52,Delivered,20:45:00,133
53,53,Delivered,09:35:00,164
54,54,Delivered,09:55:00,490
55,55,Delivered,17:53:00,392
56,56,Delivered,00:21:00,358
57,57,Delivered,01:12:00,399
58,58,Delivered,18:00:00,460
59,59,Delayed,14:37:00,420
60,60,Delivered,05:32:00,306
61,61,Delivered,02:07:00,66
62,62,Delivered,05:31:00,391
63,63,Delivered,02:14:00,338
64,64,Delivered,01:49:00,387
65,65,Delivered,07:27:00,75
66,66,Delivered,05:58:00,314
67,67,Delayed,18:28:00,145
68,68,Delivered,07:56:00,244
69,69,Delivered,06:38:00,218
70,70,Delivered,05:16:00,254
71,71,Delivered,03:32:00,146
72,72,Delivered,10:14:00,439
73,73,Delivered,23:48:00,225
74,74,Delivered,14:05:00,380
75,75,Delivered,04:43:00,256
76,76,Delivered,12:55:00,208
77,77,Delivered,08:56:00,483
78,78,Delivered,06:40:00,79
79,79,Delivered,17:34:00,339
80,80,Delivered,01:43:00,61
81,81,Delivered,01:41:00,400
82,82,Delivered,11:30:00,57
83,83,Delivered,16:54:00,29
84,84,Delivered,10:05:00,24
85,85,Delivered,13:40:00,183
86,86,Delivered,20:47:00,445
87,87,Delayed,02:03:00,291
88,88,Delivered,20:43:00,293
89,89,Delivered,12:04:00,342
90,90,Delivered,18:05:00,39
91,91,Delivered,11:02:00,116
92,92,Delivered,10:01:00,244
93,93,Delivered,15:26:00,213
94,94,Delivered,01:29:00,96
95,95,Delivered,21:49:00,479
96,96,Delivered,16:50:00,351
97,97,Delivered,22:11:00,422
98,98,Delivered,04:59:00,409
99,99,Delivered,22:27:00,140
100,100,Delivered,16:55:00,460
101,101,Delivered,13:32:00,204
102,102,Delayed,05:11:00,487
103,103,Delivered,08:43:00,161
104,104,Delivered,07:58:00,497
105,105,Delivered,13:29:00,280
106,106,Delivered,12:39:00,158
107,107,Delivered,00:24:00,130
108,108,Delivered,15:37:00,202
109,109,Delivered,15:54:00,393
110,110,Delivered,17:22:00,431
111,111,Delivered,18:23:00,374
112,112,Delivered,02:51:00,228
113,113,Delivered,11:30:00,128
114,114,Delivered,15:50:00,134
115,115,Delivered,15:16:00,194
116,116,Delivered,04:11:00,360
117,117,Delivered,05:56:00,485
118,118,Delayed,23:26:00,105
119,119,Delayed,13:30:00,308
120,120,Delivered,14:27:00,500
121,121,Delivered,03:54:00,166
122,122,Cancelled,,31
123,123,Delayed,17:01:00,481
124,124,Delivered,18:10:00,203
125,125,Delivered,09:37:00,174
126,126,Delivered,09:39:00,66
127,127,Delayed,10:42:00,425
128,128,Delivered,11:10:00,487
129,129,Delivered,02:16:00,134
130,130,Delivered,02:09:00,288
131,131,Delivered,03:36:00,428
132,132,Delivered,20:46:00,393
133,133,Delayed,00:04:00,146
134,134,Delivered,12:02:00,426
135,135,Delivered,11:57:00,487
136,136,Cancelled,,381
137,137,Delivered,04:13:00,495
138,138,Delayed,06:36:00,332
139,139,Delivered,15:43:00,463
140,140,Delivered,18:14:00,199
141,141,Delivered,12:54:00,219
142,142,Delivered,22:54:00,254
143,143,Delayed,15:19:00,154
144,144,Delivered,10:22:00,470
145,145,Delivered,16:28:00,130
146,146,Delivered,23:14:00,432
147,147,Delivered,00:02:00,175
148,148,Delivered,23:39:00,3
149,149,Delivered,23:01:00,250
150,150,Delivered,04:06:00,58
151,151,Delivered,23:03:00,432
152,152,Delayed,16:14:00,60
153,153,Delivered,16:28:00,292
154,154,Delivered,22:40:00,213
155,155,Delayed,17:32:00,372
156,156,Delivered,18:20:00,284
157,157,Delivered,21:57:00,358
158,158,Delivered,15:55:00,466
159,159,Delivered,14:15:00,345
160,160,Delivered,10:01:00,248
161,161,Delivered,17:07:00,25
162,162,Delivered,07:03:00,17
163,163,Delivered,05:12:00,175
164,164,Delivered,00:33:00,54
165,165,Delivered,03:57:00,440
166,166,Delivered,21:55:00,186
167,167,Delivered,05:37:00,71
168,168,Delivered,09:09:00,147
169,169,Delivered,13:21:00,386
170,170,Delivered,15:15:00,488
171,171,Delivered,00:40:00,36
172,172,Delayed,13:49:00,329
173,173,Delivered,14:17:00,448
174,174,Delivered,18:43:00,207
175,175,Delivered,22:28:00,155
176,176,Delivered,18:32:00,48
177,177,Delivered,01:18:00,304
178,178,Delivered,02:39:00,260
179,179,Delivered,16:20:00,382
180,180,Delivered,10:40:00,294
181,181,Delivered,04:39:00,422
182,182,Delivered,14:26:00,455
183,183,Delivered,14:54:00,203
184,184,Delivered,14:59:00,66
185,185,Delivered,05:03:00,17
186,186,Delivered,21:23:00,190
187,187,Delivered,10:40:00,249
188,188,Delivered,09:55:00,251
189,189,Delivered,14:51:00,232
190,190,Delivered,17:56:00,342
191,191,Delayed,13:30:00,277
192,192,Delivered,06:43:00,408
193,193,Delayed,06:52:00,388
194,194,Delivered,17:58:00,480
195,195,Delivered,09:05:00,297
