order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,3294,167,Veg Biryani,2024-05-20,10:58:00,Delivered,1214.48
2,2749,33,Veg Biryani,2024-10-07,04:49:00,Delivered,351.91
3,1996,298,Chicken Biryani,2024-05-16,03:24:00,Delivered,992.43
4,3990,42,Chicken Biryani,2024-01-08,06:07:00,Delivered,1095.3
5,3900,65,Pizza,2024-05-26,21:50:00,Cancelled,741.58
6,1430,20,Noodles,2024-07-03,17:03:00,Delivered,241.47
7,3431,3,Fried Rice,2024-08-29,06:33:00,Completed,851.67
8,4422,260,Pizza,2025-04-20,21:22:00,Delivered,501.47
9,3887,255,Paneer Butter Masala,2024-06-12,22:52:00,Delivered,194.56
10,2060,172,Noodles,2025-04-09,01:28:00,Completed,192.39
11,239,249,Fried Rice,2024-04-28,02:25:00,Delivered,1115.54
12,1629,167,Pizza,2024-04-22,11:07:00,Completed,447.22
13,1808,38,Idli,2025-05-11,01:51:00,Delivered,320.02
14,3174,192,Paneer Butter Masala,2025-04-13,06:37:00,Delivered,1466.27
15,4659,31,Burger,2024-05-19,03:47:00,Delivered,752.84
16,2418,81,Roll,2024-06-23,19:43:00,Delivered,1299.91
17,4008,111,Noodles,2025-04-29,15:47:00,Cancelled,1127.42
18,2021,127,Pasta,2025-03-20,19:46:00,Completed,1399.92
19,42,214,Chicken Biryani,2024-02-11,16:03:00,Delivered,815.82
20,803,232,Idli,2024-09-03,02:50:00,Delivered,137.14
21,1088,184,Burger,2024-09-01,22:06:00,Delivered,141.98
22,3763,293,Momos,2024-01-25,15:31:00,Delivered,311.3
23,3035,238,Momos,2024-01-02,21:24:00,Completed,1352.94
24,3489,139,Momos,2024-07-31,23:22:00,Completed,1335.57
25,2982,27,Veg Biryani,2025-01-27,12:28:00,Delivered,176.41
26,549,288,Momos,2024-07-28,04:43:00,Delivered,449.31
27,4753,108,Roll,2024-08-18,10:56:00,Delivered,488.95
28,520,191,Pasta,2025-04-08,16:35:00,Delivered,1264.79
29,4366,150,Idli,2025-01-11,22:58:00,Delivered,1236.14
30,3751,45,Veg Biryani,2025-02-04,06:06:00,Cancelled,1440.15
31,1350,142,Veg Biryani,2024-05-31,16:56:00,Completed,401.87
32,3413,278,Salad,2024-05-15,16:10:00,Preparing,732.53
33,516,12,Sandwich,2024-08-25,17:44:00,Delivered,688.13
34,2674,249,Noodles,2025-06-26,18:43:00,Delivered,539.63
35,2130,117,Idli,2025-01-15,09:50:00,Delivered,185.3
36,1363,83,Momos,2024-10-19,06:13:00,Delivered,1278.28
37,1321,122,Veg Biryani,2024-02-12,10:48:00,Delivered,728.43
38,285,163,Pasta,2024-05-31,12:43:00,Delivered,1466.14
39,205,208,Salad,2025-05-26,04:57:00,Delivered,1400.38
40,4475,260,Pasta,2024-10-29,16:10:00,Delivered,1458.06
41,4631,227,Pasta,2024-04-25,16:20:00,Delivered,312.4
42,3291,113,Idli,2024-12-31,03:09:00,Preparing,959.25
43,2277,101,Chicken Biryani,2024-03-26,18:22:00,Delivered,1054.35
44,3232,100,Idli,2024-11-21,20:35:00,Delivered,1421.89
45,1212,219,Pasta,2025-01-30,12:43:00,Completed,595.99
46,718,111,Momos,2025-03-30,14:11:00,Delivered,518.31
47,3473,213,Paneer Butter Masala,2024-03-29,04:54:00,Completed,774.97
48,542,193,Veg Biryani,2024-01-07,13:58:00,Delivered,497.19
49,4653,71,Pizza,2024-07-09,13:01:00,Cancelled,797.01
50,2474,300,Burger,2025-05-20,19:05:00,Delivered,429.84
51,2459,242,Veg Biryani,2024-10-21,14:14:00,Completed,1371.37
52,2271,253,Veg Biryani,2025-01-05,19:50:00,Delivered,721.77
53,980,192,Fried Rice,2024-01-18,08:51:00,Completed,200.74
54,1110,183,Paneer Butter Masala,2024-02-24,09:18:00,Delivered,998.02
55,2390,272,Thali,2024-03-19,17:32:00,Completed,986.68
56,1370,279,Pasta,2024-11-19,23:22:00,Delivered,494.61
57,4378,297,Pasta,2024-05-27,00:26:00,Completed,508.36
58,1336,53,Pizza,2024-06-07,17:10:00,Completed,380.02
59,4307,273,Momos,2024-04-26,14:14:00,Delivered,225.43
60,3929,179,Burger,2025-01-06,04:44:00,Delivered,1347.82
61,2803,89,Momos,2024-11-07,00:58:00,Delivered,283.66
62,1857,158,Paneer Butter Masala,2024-08-02,04:26:00,Delivered,706.23
63,155,248,Roll,2025-03-17,01:27:00,Completed,165.25
64,3843,61,Salad,2024-09-16,01:28:00,Completed,1041.27
65,4930,106,Noodles,2024-07-23,06:18:00,Delivered,160.38
