rider_id,rider_name,sign_up
1,Rider_1,2023-01-11
2,Rider_2,2023-11-08
3,Rider_3,2023-10-28
4,Rider_4,2024-07-17
5,Rider_5,2024-09-25
6,Rider_6,2022-03-03
7,Rider_7,2022-05-14
8,Rider_8,2024-08-31
9,Rider_9,2022-08-20
10,Rider_10,2023-12-21
11,Rider_11,2024-09-07
12,Rider_12,2024-08-02
13,Rider_13,2022-12-16
14,Rider_14,2023-08-02
15,Rider_15,2023-12-15
16,Rider_16,2025-05-22
17,Rider_17,2025-03-22
18,Rider_18,2022-09-18
19,Rider_19,2024-11-06
20,Rider_20,2022-07-30
21,Rider_21,2024-04-10
22,Rider_22,2022-08-08
23,Rider_23,2023-10-30
24,Rider_24,2025-02-12
25,Rider_25,2022-05-26
26,Rider_26,2023-09-11
27,Rider_27,2024-12-27
28,Rider_28,2024-08-02
29,Rider_29,2024-03-31
30,Rider_30,2025-04-24
31,Rider_31,2024-04-26
32,Rider_32,2023-05-04
33,Rider_33,2025-06-25
34,Rider_34,2023-05-15
35,Rider_35,2025-01-27
36,Rider_36,2022-11-22
37,Rider_37,2024-09-14
38,Rider_38,2024-02-26
39,Rider_39,2022-05-16
40,Rider_40,2023-11-29
41,Rider_41,2023-03-03
42,Rider_42,2025-04-25
43,Rider_43,2024-06-01
44,Rider_44,2024-06-10
45,Rider_45,2025-03-07
46,Rider_46,2023-12-02
47,Rider_47,2025-01-20
48,Rider_48,2023-04-29
49,Rider_49,2022-12-21
50,Rider_50,2022-06-09
51,Rider_51,2025-03-21
52,Rider_52,2024-09-23
53,Rider_53,2022-08-23
54,Rider_54,2025-04-27
55,Rider_55,2025-05-05
56,Rider_56,2024-08-06
57,Rider_57,2023-10-29
58,Rider_58,2025-02-10
59,Rider_59,2022-07-19
60,Rider_60,2024-06-30
61,Rider_61,2022-12-27
62,Rider_62,2023-09-23
63,Rider_63,2024-04-11
64,Rider_64,2022-05-23
65,Rider_65,2025-05-10
66,Rider_66,2022-08-11
67,Rider_67,2025-05-06
68,Rider_68,2024-02-16
69,Rider_69,2023-11-02
70,Rider_70,2024-10-09
71,Rider_71,2022-05-06
72,Rider_72,2022-07-05
73,Rider_73,2023-03-22
74,Rider_74,2022-10-12
75,Rider_75,2025-04-04
76,Rider_76,2022-01-01
77,Rider_77,2022-10-28
78,Rider_78,2022-11-02
79,Rider_79,2024-07-16
80,Rider_80,2024-12-24
81,Rider_81,2023-08-20
82,Rider_82,2024-03-09
83,Rider_83,2025-06-14
84,Rider_84,2025-03-29
85,Rider_85,2024-07-04
86,Rider_86,2023-02-05
87,Rider_87,2023-02-26
88,Rider_88,2023-10-11
89,Rider_89,2023-09-06
90,Rider_90,2025-03-13
91,Rider_91,2023-09-16
92,Rider_92,2024-06-09
93,Rider_93,2023-12-07
94,Rider_94,2022-07-02
95,Rider_95,2025-04-08
96,Rider_96,2022-01-17
97,Rider_97,2025-06-06
98,Rider_98,2024-11-11
99,Rider_99,2024-04-07
100,Rider_100,2022-09-19
101,Rider_101,2023-08-26
102,Rider_102,2022-05-08
103,Rider_103,2024-01-27
104,Rider_104,2025-01-29
105,Rider_105,2022-04-19
106,Rider_106,2022-01-02
107,Rider_107,2025-02-20
108,Rider_108,2024-01-06
109,Rider_109,2022-08-13
